job_id,job_title,employer_name,employer_logo,employer_website,job_publisher,job_employment_type,job_employment_types,job_apply_link,job_apply_is_direct
y8YkPLo7JX6Sx5LSAAAAAA==,Staff Software Engineer - C++ and .net,Vontier,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNCHBApQRwGcdZsHa-xqp7w8DrkT19CQgOPlO4&s=0,https://www.vontier.com,Vontier Jobs,Full-time,['FULLTIME'],https://careers.vontier.com/us/en/job/INV001214/Staff-Software-Engineer-C-and-net?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
pqGH0jrQjGohCQfqAAAAAA==,"Manager 3, Software Engineering",Intuit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn_Flout7UXwcKW-HyidblhEZLwv5KxQymI_mZ&s=0,https://www.intuit.com,Jobs At Intuit,Full-time,['FULLTIME'],https://jobs.intuit.com/job/bengaluru/manager-3-software-engineering/27595/83321423488?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
7WktlLOXMOm7fuA4AAAAAA==,Software Engineer II,Mastercard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnWxNA5w472wqgBWJbT6wqQd_uHMmklYpnLovn&s=0,https://www.mastercard.com,Mastercard Careers,Full-time,['FULLTIME'],https://careers.mastercard.com/us/en/job/R-251749/Software-Engineer-II?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
DJ6GwCqpIla2VYW7AAAAAA==,Senior Software Engineer – Java with C++ & SQL,EPAM Systems,,,EPAM,Full-time,['FULLTIME'],https://www.epam.com/careers/job-listings/job.epamgdo_blt94a735acab60d450_en-us_Hyderabad_India.senior-software-engineer-java-with-c-sql_hyderabad_india?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
S6dLpUpAuKtvnPKVAAAAAA==,"Software Engineer, Platform - Delhi, India",Speechify,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxY4mGdFSJBgNALiKenmBY_v5S9jNGrTn1wJLZ&s=0,https://speechify.com,Startup Jobs,Full-time,['FULLTIME'],https://startup.jobs/software-engineer-platform-delhi-india-speechify-7085270?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
4i9fFC8RbIWH32wlAAAAAA==,"Software Senior Engineer - C, C++ & Python",Org_Subtype_BU022_Infrastructure_Solutions_Group,,,Dell Careers,Full-time,['FULLTIME'],https://jobs.dell.com/en/job/pune/software-senior-engineer-c-c-and-python/375/78206394640?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
m02VqKZRhgR5NernAAAAAA==,Associate Software Engineer,Gallagher,,http://www.ajg.com/,Gallagher Careers,Full-time,['FULLTIME'],https://jobs.ajg.com/ajg-home/jobs/27144?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,True
n102flnAoUDRualuAAAAAA==,Senior Software Engineer - .Net,Maersk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSryb9HjIp8Panzi4ci6dMdEWbamuzvrH6y7vDc&s=0,https://www.maersk.com/,Maersk,Full-time,['FULLTIME'],https://www.maersk.com/careers/vacancies/wd/Senior-Software-Engineer_R157758/jt-senior-software-engineer-net?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
q2pwziIrKz8sCBxDAAAAAA==,Manager Software Engineer,Mastercard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnWxNA5w472wqgBWJbT6wqQd_uHMmklYpnLovn&s=0,https://www.mastercard.com,Mastercard Careers,Full-time,['FULLTIME'],https://careers.mastercard.com/us/en/job/R-237323/Manager-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
1lt8FV-47D0_yqr0AAAAAA==,Staff Software Engineer-Fullstack,Toast,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZkgf08MwHjvu5PcaJj-0M-_fpVRXp3lyy2tcc&s=0,http://www.toasttab.com/,Toast,Full-time,['FULLTIME'],https://careers.toasttab.com/jobs/staff-software-engineer-fullstack-bengaluru-karnataka-india?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
wnbyzjfDYOhl3z9bAAAAAA==,Software Development Engineer IV,Avalara,,http://www.avalara.com/,Avalara Careers,Full-time,['FULLTIME'],https://careers.avalara.com/jobs/15767?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,True
